author_name,author_from,comment_title,comment_body,comment_date
Ananda Gurgel,"São Paulo, SP",Ótimo parque em Curitiba,"Parque muito bonito, limpo, bem plano e com bastante área verde.   Logo na entrada do parque você pode alugar bicicletas para passar umas horas pedalando. Em algumas partes ao redor do parque tem estacionamento. Existe banheiros mas tem que pagar para o uso.  Ao redor do lago", janeiro de 2020
Monica Regina B,"Rio de Janeiro, RJ",Para a família inteira,"Parque com muitas opções de atividades: caminhadas, brincar com cachorros, andar de bicicleta ou patinete, jogar bola, frescobol, descansar na grama... diversão para todos os gostos.  Há opções de banheiros limpos a 2 reais.  Há vendas de água, sorvete, água de coco, caldo de", dezembro de 2019
André Ortolani,"São Paulo, SP","Belíssimo, mas pouca infraestrutura","O parque em si é belíssimo. Contudo, levando em conta que visitamos no dia 30/12/19, estranho a falta de infraestrutura e suporte no parque. Difícil ficar com crianças pequenas por muito tempo", dezembro de 2019
Aline Rios,"Vitória, ES",Melhor parque,"Na minha opinião é o melhor parque de Curitiba! Vemos capivaras em todo o parque, os restaurantes são ótimos e em volta do restaurante ficam os patos e peixes grandes... quando jogamos pão para eles é muito divertido!", janeiro de 2020
BabiSmi,"Curitiba, PR",Programa fitness,"Por ser plano na sua maior extensão, é uma ótima opção de parque para praticar exercícios, pedalar e patinar.", fevereiro de 2019
naotemho,"Paraisópolis, MG",Parque mais tradicional da capital paranaense,"O parque é um dos mais antigos de Curitiba. Possui trilhas para caminhada, um amplo estacionamento gratuito e um enorme lago que cobre grande parte do local. É preciso tomar algum cuidado com animais de estimação pois no lago existe um jacaré (não é lenda!). Nos finais de semana", dezembro de 2019
Caroline Mariano,"Rio de Janeiro, RJ",bom ,excelente lugar para atividades ao ar livre ...excelente para o início da manhã e fim de tarde ..ótimo para picnic, dezembro de 2019
Rodrigo F,"Foz do Iguaçu, PR",Sempre uma ótima pedida,Paisagem linda e toda estrutura necessária para se exercitar ou só para passar o tempo. Excelente também para quem tem crianças: não faltam espaços para brincar., dezembro de 2019
NEANDER PEREIRA,"Curitiba, PR",Parque belo e seguro em Curitiba.,"O Parque Barigui é um excelente lugar para se fazer caminhadas, andar de bicicleta, correr, ou simplesmente admirar a natureza.  Lá você vai ver gansos, capivaras,  peixes, abelhas (sim, há caixas de diversas espécies de abelhas sem ferrão) e outros animais.  Há uma sede da", dezembro de 2019
CleberMello,"Rio de Janeiro, RJ",O parque dos curitibanos,"Um parque muito bem cuidado, com ciclovias, pista de corrida e uma bonita paisagem. É onde o curitibano vai para se exercitar. Na minha opinião é um parque mais para os locais. De qualquer forma, se você estiver com tempo, valo conhcer.", dezembro de 2019
Flavia S,"Gramado, RS",Passeio,"Lugar lindo, limpo, bem arborizado, possui restaurante, cafeteria, sorveteria, amei a organização do espaço, o parque transmite uma paz, ótimo para curtir em família com amigos.", dezembro de 2019
Fernando Soares,"Cubatão, SP",Ótimo para caminhadas e exercícios,Parque destinado à atividades físicas com direito há usufruir de belas paisagens e ao contato com a natureza., dezembro de 2019
Alfaides C,,Ciclovia,"A ciclovia do Barigui é o primeiro anel interno de três anéis, ciclista não tem acesso a este anel sem passar por cima da grama, após a chuva fica pior em alguns locais com água.", dezembro de 2019
Pedro,,Ótimo para atividades ao ar livre,"O parque barigui se destaca por suas amplas pistas de corrida e extensa área verde, sendo ideal para passear com animais de estimação ou levar os filhos para terem contato com a natureza.  As pistas de corrida possuem: 3,3km (amarela) e a outra cerca de 2,4km (azul). São", dezembro de 2019
alessiacolombo,"São Paulo, SP",Ameiiiii,Lugar lindo que recomendo todos a visitarem! Amei o pavilhão de eventos a beleza do local e a limpeza! , novembro de 2019
Thais Tavares,"Rio de Janeiro, RJ",Passeio para todo o dia,O Parque é gigante e merece uma boa cainhada ou pratica de exercício. Excelente para passar o dia com a afamilia e crianças. Não há muitas opções de almoço e poderiam investir mais nesta estrutura., novembro de 2019
Jeniffer Paolillo,"Guarujá, SP",OPÇÃO PARA PRATICAR EXERCÍCIOS,"Para quem for com intuito de passear, tomar um sorvete ou encontrar feirinhas de artesanato, esqueçam, é um parque aberto e nada mais, nem um sorvete você encontra, ficamos pouco tempo pq não tinhamos mais opções.", agosto de 2019
LiviaMayer,"Rio de Janeiro, RJ",Falta um bom parquinho,"A área é linda , ver as capivaras foi muito legal. Porém senti falta de um parquinho como o do passeio público. A maioria dos parquinhos em Curitiba conta somente com três brinquedos (um escorregador, uma gangorra e um trepa trepa). Não sei se é viável mas um passeio de", novembro de 2019
brunopitlo,"Curitiba, PR",otimo,"parque na entrada da cidade, muito gosto de ir matar um tempo, tomar seu bom vinho, dar uma relaxada", junho de 2019
Ney Vieira,"Curitiba, PR","Show ! É uma das ""praias"" do curtibano","Se tem um lugar que eu não deixo de curtir toda semana..., esse é o lugar!  Pra caminhar, correr, pra tomar sol , ler e ficar em silêncio à sombra, ver gente bonita, bike e patinete de aluguel, fazer pik-nick, churrasco, barzinho, restaurante (Maggiore) , apreciar a natureza, o", novembro de 2019
Mônica Mello,"Montevidéu, Uruguai",LAGO MARAVILHOSO,Esse parque é especial. E tem um bar no meio do lago. Tudo em Curitiba é muito bem cuidado e lindo!!, novembro de 2019
Leslie B,"Passo Fundo, RS",Parque lindo ,"Parque lindo para passear!! Após um treino ao ar livre, com uma água de Coco para hidratar, é maravilhoso!! ", novembro de 2019
Marcelo,"Calgary, Canadá","Parque Barigui, Um dos belos Parques de Curitiba ","Sem dúvida o melhor parque para se exercitar e passear com cachorros, local para caminhada, corrida, skate, patins, bike, bons locais para estacionar, também tem restaurantes. ", novembro de 2019
Curitiba pelo Mundo,"Curitiba, PR","Ar puro, povo bonito e muita disposição.","O parque continua sendo a opção do curitibano para passeios ao ar livre, correr, andar de bike, skate, patins, jogar vôlei ou mesmo só pra  andar com a família! Possui até uma academia pública da prefeitura! Lugar eclético, onde você observa de tudo, os bandos de capivaras", novembro de 2019
Beta Rodrigues,"Curitiba, PR",Meu Jardim,"Por ficar próximo da minha casa costumo chamá-lo de “meu jardim”. Faço ali as minhas caminhadas matinais. Amo o parque Barigui. Lugar para relaxar, ler um livro, tomar chimarrão, fazer ioga, praticar Tai Chi, tomar uma cerveja em um bar/restaurante e até passar um réveillon bem", novembro de 2019
David Flagger,"São Paulo, SP",Um parque maravilhoso,"Toda vez em que viajo para Curitiba, minha visita neste parque é certa. É um parque público, aberto 24h, rodeado por casas padrão A e B, está entre os parques mais procurados pelos moradores nos dias em que o sol decide aparece. O parque é cortado pelo Rio Barigui e tem um lago", julho de 2019
Andressa N,,Para mim o melhor!,"O parque é lindo! Tem muitas áreas verdes, locais para sentar e aproveitar a vista. Está perto de shopping e é possível passear por ele de patinete ou bicicleta. O graaande diferencial são as capivaras. Pensa num bichinho lindo e simpático. Não saia de Curitiba sem vê-las! ", novembro de 2019
Ariane Santos,"Florianópolis, SC",Um dos melhores parques da cidade,"O parque é lindo e ótimo para passear com as crianças, para fazer atividade física ou apenas para ir conversar mesmo. ", abril de 2019
Fred Baião,"Belo Horizonte, MG",Parque das capivaras,"O Barigui é um parque bastante frequentado pelos moradores, ao contrário do Jardim Botânico. Tem áreas de churrasco, posta de caminhada e corrida e muitas áreas de estacionamento.", novembro de 2019
Thiffany Soares,"Ilhabela, SP",Bom para praticar esportes,"Lugar muito bonito e limpo. Com bastante espaço para fazer uma caminhada, olhar os patos, levar cachorro... bater uma bolinha... fazer de tudo um pouco.", dezembro de 2018
Deni P,,Contemplação!,"Um parque para contemplar, caminhar, fazer atividades físicas. Um local maravilhoso, com muito verde e muita água. ", novembro de 2019
giba2016,"Registro, Brasil",Parque gostoso e muito bonito.,"O Parque Barigui é muito bonito, bem cuidado, com pista para caminhada, corrida e bike. Bem arborizado, tem estacionamentos, vários trailers de caldo de cana, aluguel de bikes,  restaurante, feira de doação de animais (1 vez por mês). Vale muito a pena.", outubro de 2019
Francisco F,"Curitiba, Brazil","Lugar muito bonito, inclusive com bons restaurantes e bares","Especial para fazer caminhada, exercícios de modo geral, com duas pistas para caminhadas mais longas ou curtas.", outubro de 2019
Eduardo S.,,Quem gosta de exercício,"Parque bem cuidado , bem grande . Para quem vai preparado para fazer exercícios , possue uma infra estrutura boa para os praticantes de esportes", julho de 2019
Mag E,"Niterói, RJ",Bem cuidado,"Tudo bem cuidado, por isso  digo sempre, Curitiba é outro País, ruas limpas, pessoas educadas, embora um pouco reservadas, mas prestativas. ", outubro de 2019
Juninho C,"Curitiba, PR",Ótimo para correr,"Atualmente o melhor parque para se correr. Porém o local está precisando de uma manutenção mais condizente com a realidade do parque. Está dando enchente direto lá e acumula lama nas pistas e dá mau cheiro. Prefeitura, vamos dar uma melhorada por lá ????", setembro de 2019
Allyson C. Oliveira,"Curitiba, PR",O melhor parque ,"O melhor parque de Curitiba sem dúvida é Barigui. Tem estacionamento gratuito, churrasqueira gratuita, lago, rios e muita área verde. Sem falar na vista e bons restaurantes próximos . Parada obrigatória de Curitiba pra quem gosta de parque.", outubro de 2019
Rodrigo Lupareli,"Rio de Janeiro, RJ",Respirar Ar Puro.,"Como todo parque possui ciclovias, pista de corridas e caminhada, tem uma longa extensão e serviço de Patinete e Bicicleta elétrica para alugar.", outubro de 2019
mariaade50,"Curitiba, PR",Lindoo,"Parque Barigui  é um dos muitos parques que proliferam em Curitiba. A natureza se faz presente com muitas árvores, lago,o rio que dá nome ao Parque. Tem tb  pistas de corrida  e caminhada, academia ao ar livre, pontes, pavilhão  de exposições, passeio de helicóptero,", outubro de 2019
Nanda_Rios,,Caminhar ou andar de bike?,"Contato com a natureza, no qual você pode alugar uma bike na entrada e aproveitar o máximo que puder.", setembro de 2019
Paula,"Florianópolis, SC",Apaixonante!,"Lugar muito lindo!! Otimo para caminhar de bike, bater fotos e apreciar a fauna e a flora. Nunca tinha visto capivaras tao de perto!! E muito gostoso ir pra la, fazer piquenique com os amigos! ", setembro de 2019
Rodrigo J,"São Caetano do Sul, SP",O Melhor Parque da Cidade,"Vale a pena passear por esses quase 8km de muito verde e ar puro. O parque mais cheio, porém o mais gostoso da cidade. Vale a visita", outubro de 2019
Tenice S,"Curitiba, PR",Adorável em qualquer época ,"Passear no parque, caminhar, ver o por do sol no lago (um dos mais bonitos da cidade) é  sempre adorável. Excelente para fotografar e fazer pique nique. Para quem gosta de andar de bike, skate, patinete o lugar é  perfeito e sempre movimentado.", outubro de 2019
Luciana B,,Muito lindo!,"Lindíssimo o parque! Recomendo a visita ao local, que é bem espaçoso. Tem estacionamento gratuito e é aberto a qualquer pessoa. ", setembro de 2019
Kaori Tr.,,"Amplitude, natureza e espaços!","À minha vista, vejo lagoas, várias aves, araucárias, várias árvores, casas com arquiteturas típicas, pessoas aproveitando o espaço amplo que existe, brincando, andando de bicicleta, correndo, aproveitando o momento. E então, resolvo ter meu almoço no restaurante que existe lá", julho de 2019
Viviane V,,Parque Belíssimo! ,"Acho que esse é o maior parque de Curitiba e é ótimo para quem quer caminhar, correr, andar de bicicleta, sentar no sol tudo isso em meio a um lugar com muito verde, com água do rio e na cia das capivaras (que no dia da nossa visita não apareceram). Lugar excelente para quem", setembro de 2019
engftmarques,"Rio de Janeiro, RJ",Parque mais vivo de Curitiba,"Neste parque encontra-se vida por ser o único em que se pode ver a integração do homem com a natureza. Há bares, pessoas se exercitando, andando de bicicleta e patins. Bom lugar para atividades de lazer.", setembro de 2019
cyberHelder,"Curitiba, PR",Maior parque de Curitiba,"O Barigui é o maior parque de Curitiba, nessa cidade onde o que não faltam são parques e espaços verdes para irmos com a família e amigos. O lago é grande e em seu entorno tem pista de cooper, de caminhada, espaço para bikes e patinetes, etc. Além dos restaurantes uma boa opção", setembro de 2019
@vetho / Everthon Banhos,"Vitória, ES",super passeio,"para quem curte a natureza e belezas naturais, vale a pena reservar um tempinho pra conhecer o parque. É bom que tenha um calçado adequado, pois é um local grande.  Excelente para esportes. ", agosto de 2019
Dinha,"Palhoça, SC",Lindo," O parque é cortado pelo rio Barigui tem um lindo lago que ao entardecer nos proporciona um cenário magnifico. Tem o museu do automóvel e pista cooper, churrasqueira, O parque contem 1.400.000 m² ,idela para curtir ao ar livre", abril de 2019
ICAROCIPO,"Salvador, BA",Top,"É o parque mais incrível que já visitei em Curitiba. Muita gente bonita, principalmente em dias de sol. ", setembro de 2019
Felipe T,"Lagarto, SE",Ótimo para prática de exércicios físicos,"Ideal para prática de exercícios físicos, como caminhada, corrida, andar de bicicleta ou um passeio com o seu cão. O local também é recomendado para quem pretende fazer um piquenique com os amigos. Porém, se seu tempo é curto em Curitiba, recomendo visitar outros lugares como", maio de 2019
Jaqueline Cengia Ribas,"Curitiba, PR",O Parque Barigui cartão de visita de Curitiba.,"O Parque Barigui é um dos belos cartões de visita de Curitiba, lugar de fácil acesso que conta com uma extensa área verde, com lagos, ótimo percurso para caminhadas e passeios, reunir a familia e amigos para um picnic ou um churrasco. O lugar também conta com bares, lanchonetes", abril de 2019
RosemaryFSilva,"Niterói, RJ",Muito bonito,"O parque é um orgulho para os curitibanos. A área é enorme e o parque é realmente muito bonito. Além de área para passeios, caminhadas, churrasco em família e várias atividades, tem também 02 restaurantes. ", setembro de 2019
mirosamk,"Curitiba, PR",parque na cidade,"muito bonito,tem parque diversão, tem exposição,tem churrasqueira, tem trilha, academia ao ar livre, bares, lanchonetes, lugar para caminhar, pedalar,patinar, correr, fazer piqui nique.", agosto de 2019
Juarez G,"Curitiba, PR",POINT DOS CURITIBANOS,"Esse parque também é imperdível sua visita é bem extenso e bom para caminhadas, e também onde as famílias fazem seu churrasco, é só trazer as carnes.", março de 2019
Renatha R,,Dia delicioso com amigos no parque,"Nossa visita ocorreu na manhã de 31/08, que foi um dia especialmente ensolarado o que tornou nossa visita extremamente agradável.  Há pistas para diferentes tipos de atividades.  Há locação de bicicletas e patinetes.", agosto de 2019
Ricardo L. F. Correa,"Curitiba, PR",Excelente para caminhada quando não está lotado,"O parque tem uma grande área verde, com lago e capivaras soltas, é bem extenso e ótimo para fazer caminhadas, pois tem 3 pistas, 1 para caminhada, 1 para corrida e 1 para bike ou patinete (pena que o povo é ignorante e sem empatia, logo muitos não respeitam isso e dias lotados é", agosto de 2019
Susy L,"Curitiba, PR",Natureza,"Adoro ir ao  Parque Barigui.  Ótimo para caminhadas com trilha com mais de 5 km em volta do lago. Há uma trilha dentro da mata, onde se pode observar a vegetação nativa e macaquinhos que habitam por lá. ", setembro de 2019
Wagner M,"Curitiba, PR",Mistura de Paisagens,"Parque perfeito para um passeio em família, sem falar da ótima infraestrutura, segurança e paisagem do lugar.  Lugar totalmente seguro para turistas. Encontramos várias e grandes capivaras no local... simplesmente fantástico!!!", outubro de 2018
Rodrigo M,,Um dos melhores parques que já visitei no Brasil,"Parque limpo, organizado e ideal para descansar e fazer caminhadas ao ar livre. Muito bom! Pretendo voltar sempre que visitar a cidade. ", novembro de 2018
Laura M,OSÓRIO,LINDO PARQUE,"O parque é enorme, com lindos gramados para sentar, deitar. Tem aluguel de bike e patinete, pistas de corrida, bike e caminhada. Vale a pena ir lá.", agosto de 2019
Connector817104,,Parque Bariguí exelente lugar,"Só tem um defeito esse parque. Existe enormes espáços onde você não consegue comparar uma água. Um enorme e lindo lugar, más falta quioskes, lanchonetes para vender suco, agua...o cara vai ai, e tem que caminhar 2 kilometros pra acha uma lanchonete,,, ninguém merece! De resto é", setembro de 2019
_HESOTOS_,"Curitiba, PR",BERÇO DA BIODIVERSIDADE,"O ponto turístico mais conhecido da cidade, repleto do seu verde com a harmonia dos luxuosos construções ao seu redor, possui em seu anexo um centro de convenções, pista de caminhada, seguro, com policiamento, uma área de lazer para toda a família, pode praticar todo tipo de", agosto de 2019
rodrigoefc,Lins,Sensacional,"Ambiente muito bem cuidado, cheio de pessoas realizando atividades externas, eventos e etc. Visita obrigatória em Curitiba.", agosto de 2019
Cintia Naiara,"Campo Grande, MS",Esportes e lazer ,"Eu amei esse parque, tem mtas coisas pra ver e fazer, é bem família, propício pra esportes, tem um shopping na frente. As yellows fazem a festa, pq vc pode peladar o parque todo ", setembro de 2019
